id,xP
229,9.0
230,5.0
231,0.0
232,0.0
233,5.0
234,0.0
235,0.0
236,6.5
238,0.5
239,1.0
242,2.5
243,0.5
244,5.0
245,0.0
246,2.5
247,1.0
248,1.0
249,5.0
649,1.8
250,2.5
251,0.0
252,0.0
253,0.5
254,1.5
255,1.5
256,0.0
257,1.0
258,6.0
261,2.0
262,0.5
263,1.0
264,2.5
265,2.0
266,0.0
268,4.5
269,1.0
270,0.0
271,0.5
272,0.0
569,4.0
570,1.5
580,1.0
610,0.0
626,1.0
635,1.5
636,1.5
650,1.8
240,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,8.5
278,0.0
279,10.0
280,3.0
281,1.0
282,6.0
283,0.0
284,0.0
285,0.5
286,4.5
287,3.0
288,0.0
289,1.0
290,4.0
291,0.0
292,0.0
293,0.0
294,0.0
295,3.0
296,0.0
297,0.0
298,0.0
299,0.0
340,0.0
556,0.5
563,0.5
572,10.0
574,0.0
576,1.5
585,1.0
586,8.0
589,0.5
617,1.5
632,1.4
637,1.4
638,1.0
642,2.0
645,1.5
259,2.0
267,3.0
300,0.0
301,0.0
302,0.0
303,0.0
304,2.0
305,4.0
306,0.5
307,0.0
308,0.5
309,3.0
310,0.0
311,0.0
312,0.0
313,3.5
314,0.0
315,3.0
316,5.0
317,0.0
318,0.0
319,0.0
320,3.0
321,0.5
322,0.0
323,1.0
324,0.0
554,0.0
562,2.0
564,2.0
571,0.0
591,5.0
592,1.0
602,0.0
619,1.5
640,1.8
260,2.0
326,0.0
327,5.5
329,3.5
330,4.0
331,0.0
332,6.0
333,0.0
334,5.0
335,8.5
336,1.5
337,2.0
338,3.5
339,0.5
341,0.0
342,0.0
343,0.5
344,0.0
345,0.5
346,4.5
347,2.0
348,0.0
349,0.0
385,6.0
598,0.5
603,0.0
604,0.0
625,1.0
629,1.0
641,1.8
648,1.5
350,1.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,1.5
357,0.5
358,0.5
359,0.0
360,0.0
361,0.0
362,2.0
363,0.0
364,0.5
365,0.0
366,3.0
367,8.5
368,6.0
369,1.5
370,0.0
371,3.0
372,1.5
373,0.0
374,0.0
375,0.5
376,0.0
377,5.0
378,0.0
379,5.0
380,0.0
381,0.5
382,0.0
383,0.0
579,0.5
627,2.8
155,0.5
237,6.5
384,1.5
386,0.0
387,2.0
388,6.0
389,0.4
390,2.0
391,7.0
392,0.0
393,2.0
394,0.0
395,0.5
396,0.5
397,3.5
398,5.0
399,11.0
400,0.0
402,0.0
404,0.0
406,1.0
407,0.0
408,0.0
409,0.0
410,0.0
411,7.5
481,2.5
587,0.0
616,2.0
621,1.0
622,1.0
628,2.2
43,3.0
131,0.0
162,1.5
325,0.0
412,1.5
413,0.0
414,0.0
415,0.5
416,0.0
417,1.5
418,2.5
419,0.5
420,0.5
421,0.5
422,1.0
423,1.5
424,0.0
425,0.0
426,12.5
427,6.5
428,5.5
429,1.5
430,0.0
431,0.0
432,2.5
433,0.0
434,0.0
435,0.5
436,0.0
437,0.0
438,0.0
439,1.0
440,0.0
441,0.0
405,1.0
442,0.0
443,0.0
444,0.0
445,4.5
446,0.5
447,4.0
448,0.0
449,7.0
450,0.0
451,0.0
453,2.5
454,8.5
456,0.5
457,0.5
458,0.0
459,3.0
460,4.5
461,0.5
462,1.0
463,2.0
464,6.0
465,0.0
466,0.0
559,0.5
567,4.0
593,6.0
609,0.0
634,2.1
167,0.5
201,0.0
467,1.5
468,0.0
469,4.0
470,0.0
471,2.5
472,2.5
473,2.5
474,1.0
475,0.0
476,0.0
477,0.0
478,1.0
479,0.0
480,7.5
482,0.5
483,6.0
484,0.0
485,0.0
486,2.5
487,0.5
488,0.0
489,0.0
490,0.5
491,1.5
493,0.5
558,2.5
581,0.0
590,0.0
112,1.0
147,0.0
401,1.0
403,0.0
455,2.0
494,0.0
495,0.0
496,1.5
497,0.0
498,1.5
499,0.5
500,0.0
502,2.5
503,0.0
505,0.0
506,1.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.4
513,0.0
514,2.0
515,0.4
516,1.5
517,0.0
518,0.0
519,0.0
520,0.5
521,0.0
522,2.0
523,1.5
524,0.0
525,1.5
526,1.0
527,1.0
528,0.0
578,0.0
601,0.0
501,0.0
529,3.5
530,0.0
531,0.0
532,4.0
533,4.5
534,4.0
535,0.5
536,3.5
537,0.0
538,0.0
539,0.5
540,0.0
541,3.5
542,2.5
543,2.5
544,7.5
545,2.5
546,0.0
547,0.5
548,1.0
549,0.5
550,0.0
551,4.0
552,2.0
553,4.5
612,0.0
613,1.0
646,2.0
651,1.0
