name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Evan Ferguson,FWD,Brighton,,i,Ankle injury - Expected back 10 Oct,,0,0.0,524,69,0,0,0,0,0,0.0,0,139,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,2877,0,0,0,4,0.0,0,0,0,0,50,True,0
João Pedro Loureiro da Costa,DEF,Brighton,,a,,,,0.0,536,181,0,0,7,0,3,1.9,4,119,0.00,0.12,0.12,0.10,7,0,0,2.8,8.2,2026-08-23T13:00:00Z,26,False,2,0,0,0,0,0,1,0,2148,0,1,0,4,18.0,1,0,0,0,45,True,0
Julián Araujo Zúñiga,DEF,Bournemouth,,i,Thigh injury - Unknown return date,,0,0.0,534,180,0,0,0,0,0,0.0,0,65,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,1775,0,0,1,2,0.0,0,0,0,0,45,False,0
James Maddison,MID,Spurs,,a,,,,1.4,163,51,0,0,6,0,1,8.3,2,515,0.01,0.01,0.00,0.85,2,0,0,2.1,4.4,2026-08-22T16:30:00Z,22,False,4,0,0,0,1,0,1,0,119410,0,0,0,3,8.0,1,0,0,0,65,False,0
Tyler Bindon,DEF,Nott'm Forest,,a,,,,0.2,350,134,0,0,0,0,0,0.0,0,479,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,18342,0,0,1,0,0.0,0,0,0,0,40,True,0
Juanlu Sánchez,DEF,Bournemouth,,a,,,,0.2,348,132,0,0,0,0,0,0.0,0,573,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,18342,0,0,1,2,0.0,0,0,0,0,45,False,0
Alex Palmer,GK,Ipswich Town,,a,,,,4.9,69,9,0,0,0,0,0,0.0,0,301,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,426453,0,0,1,2,0.0,0,0,0,0,40,True,0
Joe Willock,MID,Newcastle,,a,,,,0.1,418,166,0,0,28,0,0,13.9,3,460,0.17,0.26,0.09,1.50,9,1,1,6.1,38.4,2026-08-23T15:30:00Z,34,False,14,0,0,0,1,0,1,0,10181,0,2,2,2,9.0,6,0,0,0,50,True,0
Charlie Hughes,DEF,Hull City,,i,Groin injury - Unknown return date,,0,0.2,360,138,0,0,0,0,0,0.0,0,278,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,12660,0,0,0,2,0.0,0,0,0,0,40,True,0
Ewen Jaouen,GK,Newcastle,,a,,,,0.0,523,62,0,0,0,0,0,0.0,0,444,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,2666,0,0,2,2,0.0,0,0,0,0,45,True,0
Christantus Uche,FWD,Crystal Palace,,u,has returned to Getafe CF,,0,0.0,599,72,0,0,0,0,0,0.0,0,225,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,0,0,0,0,2,0.0,0,0,0,0,50,False,0
Luke Woolfenden,DEF,Coventry City,,a,,,,0.2,357,137,0,0,0,0,0,0.0,0,180,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,16501,0,0,0,3,0.0,0,0,0,0,40,False,0
Mohamed Belloumi,MID,Hull City,,a,,,,0.4,265,85,0,0,8,1,3,2.2,10,286,0.03,0.08,0.05,1.83,4,0,0,2.0,10.6,2026-08-22T11:30:00Z,90,False,16,0,0,0,3,0,1,0,40446,1,4,0,2,7.0,3,0,0,0,50,True,0
Lewis Dunk,DEF,Brighton,,a,,,,1.0,192,71,0,0,24,1,1,6.4,2,116,0.04,0.04,0.00,0.29,7,0,0,2.0,13.4,2026-08-23T13:00:00Z,90,False,2,0,0,0,2,0,1,0,88762,1,1,0,4,0.0,6,0,0,0,45,True,0
Will Dennis,GK,Bournemouth,,a,,,,0.2,359,39,0,0,0,0,0,0.0,0,59,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,16822,0,0,1,2,0.0,0,0,0,0,40,False,0
Reiss Nelson,MID,Arsenal,,a,,,,0.0,578,245,0,0,0,0,0,0.0,0,24,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,853,0,0,0,3,0.0,0,0,0,0,55,True,0
Callum Olusesi,MID,Spurs,,a,,,,0.9,199,67,0,0,0,0,0,0.0,0,524,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,79913,0,0,0,3,0.0,0,0,0,0,45,False,0
Harrison Armstrong,MID,Everton,,a,,,,0.1,453,181,1,0,25,1,3,14.7,16,244,0.04,0.04,0.00,1.96,3,0,0,4.8,28.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,11,0,1,0,6793,1,2,0,2,4.0,8,0,0,0,50,True,0
Anton Stach,MID,Leeds,,a,,,,0.9,193,66,0,3,37,1,8,2.3,16,335,0.05,0.15,0.10,0.66,6,0,1,6.6,47.8,2026-08-22T14:00:00Z,90,False,18,0,0,0,5,0,1,0,80326,1,3,1,0,16.0,13,0,0,0,60,False,0
Nehemiah Oriola,MID,Brighton,,a,,,,0.3,317,107,0,0,0,0,0,0.0,0,134,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,24725,0,0,0,4,0.0,0,0,0,0,45,True,0
Zach Abbott,DEF,Nott'm Forest,,a,,,,0.3,322,121,0,0,0,0,0,0.0,0,477,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,23851,0,0,1,0,0.0,0,0,0,0,40,True,0
Diego Coppola,DEF,Brighton,,a,,,,0.0,551,187,0,0,0,0,0,0.0,0,117,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,1583,0,0,0,4,0.0,0,0,0,0,45,True,0
Veljko Milosavljevic,DEF,Bournemouth,,i,Unspecified injury - Unknown return date,,0,0.0,562,190,0,0,0,0,0,0.0,0,63,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,1122,0,0,1,2,0.0,0,0,0,0,50,False,0
Mykhailo Mudryk,MID,Chelsea,,a,,,,0.0,503,210,0,0,0,0,0,0.0,0,578,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,3847,0,0,3,2,0.0,0,0,0,0,55,False,0
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,,a,,,,2.2,120,15,1,0,17,1,4,11.9,8,79,0.21,0.21,0.00,1.94,8,0,0,3.3,19.4,2026-08-23T13:00:00Z,74,False,15,0,0,0,3,0,1,0,200122,1,1,1,2,2.0,4,0,0,0,60,False,1
Justin Kluivert,MID,Bournemouth,,a,,,,1.1,180,60,0,0,15,1,1,14.3,9,70,0.00,0.11,0.11,1.94,8,0,0,4.2,11.0,2026-08-23T13:00:00Z,74,False,15,0,0,0,5,0,1,0,96045,1,3,1,2,17.0,3,0,0,0,60,False,0
Haji Wright,FWD,Coventry City,,i,Thigh injury - Unknown return date,,0,0.3,296,53,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,18871,0,0,0,3,0.0,0,0,0,0,55,False,0
Antoine Semenyo,MID,Man City,,a,,,,26.3,10,4,0,0,16,0,0,8.9,5,397,0.02,0.08,0.06,0.65,8,1,0,4.6,5.8,2026-08-23T13:00:00Z,90,False,3,0,0,0,4,0,1,0,2354040,1,1,1,2,31.0,2,0,0,0,85,True,0
Jeremy Jacquet,DEF,Liverpool,,a,,,100,2.3,118,48,0,0,9,0,2,11.9,3,362,0.02,0.02,0.00,1.04,9,2,0,2.4,12.4,2026-08-23T15:30:00Z,69,False,17,0,0,0,3,0,1,0,205604,1,1,2,2,0.0,1,0,0,0,50,False,0
Gabriel Martinelli Silva,MID,Arsenal,,a,,,,0.2,329,114,0,0,0,0,0,0.0,0,18,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,21290,0,0,0,3,0.0,0,0,0,0,65,True,0
James McConnell,MID,Liverpool,,a,,,,0.3,320,109,0,0,0,0,0,0.0,0,378,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,24189,0,0,2,2,0.0,0,0,0,0,45,False,0
Leon Bailey,MID,Aston Villa,,a,,,,0.1,395,150,0,0,0,0,0,0.0,0,44,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,0,1,0,12940,0,0,0,4,0.0,0,0,0,0,55,False,0
Jack Fletcher,MID,Man Utd,,a,,,,0.0,574,242,0,0,0,0,0,0.0,0,434,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,0,1,0,1008,0,0,0,2,0.0,0,0,0,0,50,False,0
Yasin Ayari,MID,Brighton,,a,,,,0.7,219,72,0,0,8,1,1,15.0,4,129,0.03,0.14,0.11,0.19,7,0,0,1.7,0.0,2026-08-23T13:00:00Z,63,False,2,0,0,0,3,0,1,0,61091,1,0,0,4,6.0,2,0,0,0,55,True,1
Noussair Mazraoui,DEF,Man Utd,,a,,,,0.7,226,87,0,0,8,0,4,29.4,5,422,0.05,0.27,0.22,1.01,4,2,0,5.6,17.4,2026-08-22T11:30:00Z,79,False,11,0,0,0,3,0,1,0,56217,1,1,0,2,9.0,1,0,0,0,45,False,0
Sean Steur,MID,Newcastle,,a,,,,0.1,415,164,0,0,3,0,0,1.2,2,462,0.00,0.00,0.00,1.48,9,1,0,0.2,0.4,2026-08-23T15:30:00Z,55,False,14,0,0,0,2,0,1,0,9830,1,0,2,2,0.0,1,0,0,0,50,True,0
Armin Pecsi,GK,Liverpool,,u,Has joined TSV Hartberg on loan for the rest of the season,,0,0.0,495,54,0,0,0,0,0,0.0,0,353,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,2936,0,0,2,2,0.0,0,0,0,0,40,False,0
Lucas Herrington,DEF,Hull City,,a,,,,0.6,246,91,0,0,4,0,4,0.0,4,585,0.00,0.00,0.00,0.96,4,0,0,0.8,8.0,2026-08-22T11:30:00Z,26,False,16,0,0,0,0,0,1,0,53978,0,0,0,2,0.0,1,0,0,0,40,True,0
Freddie Woodman,GK,Liverpool,,a,,,,1.1,181,26,0,0,0,0,0,0.0,0,352,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,97477,0,0,2,2,0.0,0,0,0,0,40,False,0
Michael Kayode,DEF,Brentford,,a,,,,3.3,96,38,0,1,36,1,4,1.5,4,88,0.00,0.50,0.50,0.47,2,0,1,8.1,33.8,2026-08-22T16:30:00Z,75,False,19,0,0,0,5,0,1,0,282611,1,0,0,3,46.0,13,0,0,0,45,True,0
Dane Scarlett,FWD,Spurs,,a,,,,1.7,142,20,0,0,0,0,0,0.0,0,528,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,149807,0,0,0,3,0.0,0,0,0,0,45,False,0
Harvey Barnes,MID,Newcastle,,a,,,,1.1,183,61,0,0,12,0,3,2.4,8,453,0.02,0.09,0.07,2.98,9,2,0,1.7,5.2,2026-08-23T15:30:00Z,90,False,14,0,0,0,4,0,1,0,95531,1,1,2,2,9.0,2,0,0,0,60,True,0
Nilson Angulo,MID,Sunderland,,a,,,,0.1,473,195,0,0,23,0,1,3.3,7,551,0.01,0.16,0.15,1.66,5,1,1,5.2,32.8,2026-08-22T14:00:00Z,58,False,12,0,0,0,5,0,1,0,5260,1,1,1,2,16.0,5,0,0,0,50,False,1
Nicolás Domínguez,MID,Nott'm Forest,,a,,,,0.1,440,177,0,0,0,0,0,0.0,0,487,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,7576,0,0,1,0,0.0,0,0,0,0,50,True,0
Omar Alderete,DEF,Sunderland,,a,,,100,0.4,278,103,0,0,2,0,0,0.6,0,535,0.01,0.01,0.00,0.10,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,23,False,12,0,0,0,2,0,1,0,41929,0,0,1,2,0.0,1,0,0,0,50,False,0
Mateo Joseph Fernández-Regatillo,FWD,Leeds,,i,Knee injury - Unknown return date,,0,0.1,445,63,0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,0,1,0,5936,0,0,1,0,0.0,0,0,0,0,45,False,0
Miguel Brau,DEF,Coventry City,,a,,,,0.0,501,171,0,0,0,0,0,0.0,0,181,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,3736,0,0,0,3,0.0,0,0,0,0,40,False,0
Jason Steele,GK,Brighton,,a,,,,4.2,77,12,0,0,0,0,0,0.0,0,111,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,369830,0,0,0,4,0.0,0,0,0,0,40,True,0
Brian Brobbey,FWD,Sunderland,,a,,,,14.5,29,6,0,0,1,0,0,1.5,0,552,0.00,0.30,0.30,1.69,5,1,0,1.1,0.0,2026-08-22T14:00:00Z,66,False,12,0,0,0,0,0,1,0,1279847,1,0,1,2,9.0,2,0,0,0,60,False,0
Eddie Nketiah,FWD,Crystal Palace,,a,,,,0.5,256,44,0,0,12,0,1,24.5,3,224,0.58,1.18,0.60,0.84,3,2,0,5.8,10.4,2026-08-22T14:00:00Z,55,False,9,0,0,0,1,0,1,0,43148,1,1,0,2,23.0,1,0,0,0,55,False,0
Jordan Pickford,GK,Everton,,a,,,,8.0,52,7,0,0,34,1,0,0.0,0,226,0.02,0.02,0.00,1.96,3,0,0,3.2,31.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,12,0,1,4,698199,1,0,0,2,0.0,7,0,0,0,55,True,0
Tyler Adams,MID,Bournemouth,,d,Unspecified injury - 75% chance of playing,,75,0.3,310,104,0,0,4,0,3,0.6,3,73,0.00,0.00,0.00,0.31,8,2,0,0.4,3.6,2026-08-23T13:00:00Z,15,False,15,0,0,0,0,0,1,0,19512,0,0,1,2,0.0,1,0,0,0,50,False,0
Endo Wataru,MID,Liverpool,,a,,,100,0.1,480,198,0,0,0,0,0,0.0,0,374,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,5090,0,0,2,2,0.0,0,0,0,0,50,False,0
John Victor Maciel Furtado,GK,Nott'm Forest,,a,,,,0.1,463,51,0,0,0,0,0,0.0,0,468,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,5970,0,0,1,0,0.0,0,0,0,0,45,True,0
Jorge Cuenca Barreno,DEF,Fulham,,a,,,,0.0,542,184,0,0,7,0,9,21.3,10,255,0.03,0.03,0.00,2.24,10,3,0,5.4,32.8,2026-08-24T19:00:00Z,90,False,6,0,0,0,3,0,1,0,1787,1,1,3,2,0.0,3,0,0,0,45,True,0
Carl Rushworth,GK,Coventry City,,a,,,,1.1,185,27,0,0,0,0,1,0.0,0,110,0.01,0.01,0.00,1.88,1,3,0,1.4,14.2,2026-08-21T19:00:00Z,90,False,1,0,0,0,7,0,1,2,100521,1,0,0,3,0.0,1,0,0,0,45,False,0
Kepa Arrizabalaga Revuelta,GK,Arsenal,,a,,,,0.1,436,49,0,0,0,0,0,0.0,0,2,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,7415,0,0,0,3,0.0,0,0,0,0,50,True,0
Fraser Forster,GK,Bournemouth,,a,,,,3.2,97,15,0,0,0,0,0,0.0,0,58,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,283903,0,0,1,2,0.0,0,0,0,0,40,False,0
Ronald Araujo,DEF,Liverpool,,a,,,,2.2,122,49,0,0,3,0,3,1.2,4,579,0.03,0.03,0.00,0.54,9,0,0,1.4,13.2,2026-08-23T15:30:00Z,20,False,17,0,0,0,1,0,1,0,211388,0,1,2,2,0.0,1,0,0,0,55,False,0
Jenson Seelt,DEF,Sunderland,,a,,,,0.0,576,195,0,0,0,0,0,0.0,0,537,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,12,0,0,0,0,0,1,0,941,0,0,1,2,0.0,0,0,0,0,45,False,0
Adam Smith,DEF,Bournemouth,,a,,,,0.1,429,148,0,0,4,0,4,0.6,5,64,0.00,0.00,0.00,2.25,8,2,0,0.8,7.0,2026-08-23T13:00:00Z,90,False,15,0,0,0,3,0,1,0,8561,1,1,1,2,0.0,1,0,0,0,45,False,0
Ben Gannon-Doak,MID,Bournemouth,,a,,,,0.1,430,172,0,0,3,0,0,0.1,1,72,0.00,0.00,0.00,0.19,8,1,0,0.2,0.2,2026-08-23T13:00:00Z,1,False,15,0,0,0,1,0,1,0,7889,0,0,1,2,2.0,1,0,0,0,50,False,0
Nathan Collins,DEF,Brentford,,a,,,,1.9,129,52,0,0,21,1,3,21.5,3,84,0.04,0.38,0.34,0.57,2,0,0,5.0,11.6,2026-08-22T16:30:00Z,90,False,19,0,0,0,3,0,1,0,156847,1,0,0,3,17.0,6,0,0,0,55,True,0
James Trafford,GK,Leeds,,a,,,,3.0,104,17,0,2,28,1,0,0.0,0,385,0.00,0.00,0.00,0.66,6,0,0,1.9,19.4,2026-08-22T14:00:00Z,90,False,18,0,0,0,9,0,1,3,265439,1,0,1,0,0.0,9,0,0,0,50,False,0
Luka Lynch,MID,Aston Villa,0.0,,,,,,,,0,0,0,0,0,0.0,0,607,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,0,1,0,0,0,0,0,4,0.0,0,0,0,0,45,False,0
Sean Longstaff,MID,Leeds,,a,,,,0.1,390,146,0,0,3,0,0,0.2,0,339,0.00,0.00,0.00,0.07,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,8,False,18,0,0,0,0,0,1,0,12582,0,0,1,0,0.0,1,0,0,0,50,False,0
Josh King,MID,Fulham,,a,,,,0.2,383,143,0,0,34,0,2,15.6,8,268,0.04,0.21,0.17,2.24,10,3,1,9.8,41.6,2026-08-24T19:00:00Z,90,False,6,0,0,0,4,0,1,0,14215,1,2,3,2,41.0,7,0,0,0,55,True,0
Richarlison de Andrade,FWD,Spurs,,a,,,,3.0,102,13,0,0,6,0,1,2.2,1,527,0.00,0.00,0.00,3.02,2,3,0,0.2,0.0,2026-08-22T16:30:00Z,67,False,4,0,0,0,0,0,1,0,283639,1,0,0,3,0.0,2,0,0,0,60,False,0
Diogo Dalot Teixeira,DEF,Man Utd,,a,,,,2.8,109,42,0,0,6,0,1,11.3,3,417,0.00,0.00,0.00,0.00,4,0,0,1.9,7.6,2026-08-22T11:30:00Z,10,False,11,0,0,0,1,0,1,0,246316,0,2,0,2,0.0,1,0,0,0,50,False,0
Cathal McCarthy,DEF,Hull City,,a,,,,0.1,437,151,0,0,0,0,0,0.0,0,284,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,7616,0,0,0,2,0.0,0,0,0,0,40,True,0
Tino Livramento,DEF,Newcastle,,i,Calf injury - Unknown return date,,0,0.1,469,162,0,0,0,0,0,0.0,0,450,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,4326,0,0,2,2,0.0,0,0,0,0,50,True,0
Jack Taylor,MID,Ipswich Town,,i,Knee injury - Unknown return date,,0,0.1,467,191,0,0,0,0,0,0.0,0,312,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,4505,0,0,1,2,0.0,0,0,0,0,45,True,0
Igor Thiago Nascimento Rodrigues,FWD,Brentford,,a,,,,17.4,23,4,0,0,-3,1,1,4.0,5,106,0.08,1.08,1.00,0.50,2,0,0,1.4,2.2,2026-08-22T16:30:00Z,82,False,19,0,1,0,4,0,1,0,1509299,1,0,0,3,8.0,0,0,0,0,80,True,0
Alfie Cresswell,MID,Leeds,0.0,,,,,,,,0,0,0,0,0,0.0,0,604,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,0,45,False,0
Danny Welbeck,FWD,Chelsea,,d,Unspecified injury - 75% chance of playing,,75,1.6,145,21,0,0,0,0,0,0.0,0,136,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,112037,0,0,3,2,0.0,0,0,0,0,60,False,0
Tammy Abraham,FWD,Aston Villa,,d,Knock - 75% chance of playing,,75,0.1,387,58,0,0,0,0,0,0.0,0,56,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,0,1,0,11764,0,0,0,4,0.0,0,0,0,0,55,False,0
Jannik Schuster,DEF,Brentford,,a,,,,0.2,373,141,0,0,0,0,0,0.0,0,93,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,15125,0,0,0,3,0.0,0,0,0,0,45,True,0
Caoimhín Kelleher,GK,Brentford,,a,,,,5.8,63,8,0,0,34,1,0,0.0,0,82,0.01,0.01,0.00,0.57,2,0,0,3.1,31.4,2026-08-22T16:30:00Z,90,False,19,0,0,0,5,0,1,4,513912,1,0,0,3,0.0,7,0,0,0,50,True,0
Tom Cairney,MID,Fulham,,i,Knee injury - Expected back 10 Oct,,0,0.0,585,251,0,0,0,0,0,0.0,0,266,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,6,0,0,0,0,0,1,0,464,0,0,3,2,0.0,0,0,0,0,50,True,0
Kayne van Oevelen,GK,Ipswich Town,,a,,,,0.0,497,55,0,0,0,0,0,0.0,0,554,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,3509,0,0,1,2,0.0,0,0,0,0,45,True,0
Abdukodir Khusanov,DEF,Man City,,a,,,,1.7,132,54,0,0,14,0,2,3.4,4,393,0.02,0.02,0.00,0.65,8,1,0,2.0,17.0,2026-08-23T13:00:00Z,90,False,3,0,0,0,6,0,1,0,147622,1,2,1,2,0.0,2,0,0,0,55,True,0
Mamadou Sangaré,MID,Brentford,,a,,,,3.2,98,33,2,3,41,1,4,21.8,13,565,0.33,0.38,0.05,0.47,2,0,0,7.4,31.6,2026-08-22T16:30:00Z,75,False,19,0,0,0,7,0,1,0,294770,1,2,0,3,21.0,14,0,0,0,55,True,0
Anthony Elanga,MID,Newcastle,,a,,,,0.7,217,71,0,2,31,0,1,3.5,2,454,0.01,0.23,0.22,1.94,9,1,1,6.9,37.4,2026-08-23T15:30:00Z,75,False,14,0,0,0,1,0,1,0,64591,1,0,2,2,28.0,9,0,0,0,60,True,0
Enzo Le Fée,MID,Sunderland,,a,,,,10.9,36,13,0,0,13,0,0,9.9,2,542,0.03,0.03,0.00,1.69,5,1,0,1.5,4.6,2026-08-22T14:00:00Z,79,False,12,0,0,0,1,0,1,0,942702,1,1,1,2,0.0,2,0,0,0,60,False,0
Jun'ai Byfield,DEF,Spurs,,a,,,,0.1,479,165,0,0,0,0,0,0.0,0,509,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,4794,0,0,0,3,0.0,0,0,0,0,40,False,0
Benoît Badiashile Mukinayi,DEF,Chelsea,,a,,,,0.0,532,179,0,0,0,0,0,0.0,0,146,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,2313,0,0,3,2,0.0,0,0,0,0,45,False,0
Abdoul Ouattara,DEF,Ipswich Town,,a,,,,0.7,215,81,0,0,4,0,2,10.0,2,592,0.00,0.00,0.00,0.03,5,0,0,1.5,5.2,2026-08-22T14:00:00Z,10,False,20,0,0,0,0,0,1,0,86218,0,0,1,2,0.0,1,0,0,0,40,True,0
Justin Devenny,MID,Crystal Palace,,a,,,,0.0,568,239,0,0,0,0,0,0.0,0,215,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,1134,0,0,0,2,0.0,0,0,0,0,50,False,0
Nico O'Reilly,DEF,Man City,,a,,,,21.2,16,5,0,0,5,0,1,30.4,2,387,0.41,0.48,0.07,0.55,8,1,0,5.0,8.8,2026-08-23T13:00:00Z,62,False,3,0,0,0,5,0,1,0,1877660,1,1,1,2,11.0,2,0,0,0,65,True,0
Nikola Milenković,DEF,Nott'm Forest,,a,,,,2.0,127,51,0,0,4,0,7,0.6,7,471,0.02,0.13,0.11,0.47,6,1,0,2.2,7.6,2026-08-22T14:00:00Z,90,False,13,0,0,0,6,0,1,0,173511,1,0,1,0,14.0,2,0,0,0,55,True,0
Adam Aznou,DEF,Everton,,a,,,,0.2,363,139,0,0,0,0,0,0.0,0,235,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,0,1,0,16732,0,0,0,2,0.0,0,0,0,0,40,True,0
Yoane Wissa,FWD,Newcastle,,a,,,,1.6,148,22,1,0,7,0,1,16.3,8,464,0.02,1.02,1.00,2.19,9,1,0,6.4,20.0,2026-08-23T15:30:00Z,90,False,14,0,0,0,3,0,1,0,142989,1,4,2,2,28.0,4,0,0,0,60,True,1
Dan Burn,DEF,Newcastle,,a,,,,2.4,117,47,0,0,0,0,0,0.0,0,448,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,213973,0,0,2,2,0.0,0,0,0,0,50,True,0
